mmsi,vessel_name,imo,ship_type
367332830,PENNY F,IMO9555682,70.0
367761740,GENERAL PATTON,,70.0
245789000,SPIEGELGRACHT,IMO9197911,70.0
636092818,REDMER OLDENDORFF,IMO9463669,79.0
563200400,WESTWOOD RAINIER,IMO9226035,70.0
229592000,CMA CGM OSIRIS,IMO9882504,79.0
636019984,YM TOTALITY,IMO9860922,71.0
355328000,CHASSELAS,IMO9840506,70.0
209191000,ONE ENERGY,IMO9592123,70.0
563237800,EVER MEMO,IMO9935272,74.0
367338000,HARVEY POWER,IMO9654232,70.0
367596840,HOS CAPTAIN,IMO9647590,70.0
367166950,KYLIE WILLIAMS,IMO9383780,70.0
538003831,GLOVIS COUNTESS,IMO9476721,70.0
368183000,GREAT REPUBLIC,IMO7914236,70.0
311033600,JUNO,IMO9422378,70.0
367799380,TAINO,IMO9721970,70.0
373143000,PAN IRIS,IMO9468736,70.0
352002798,ALEJANDRINA,IMO9431630,70.0
432440000,TEXAS HIGHWAY,IMO9272890,70.0
477269400,COSCO SHIPPING LOTUS,IMO9785811,71.0
367332840,KARLA F,IMO9555694,70.0
636020684,EVER FEAT,IMO9850898,74.0
366904950,LEE A TREGURTHA,IMO5385625,70.0
636021448,MSC LONG BEACH VI,IMO9327803,71.0
316034846,ALGOMA NIAGARA,IMO9619270,70.0
563244800,ONE HARBOUR,IMO9302152,73.0
636024335,STAR COPENHAGEN,IMO9699359,70.0
367516920,HARVEY EXPRESS,IMO1233561,70.0
563226200,YM WARRANTY,IMO9757228,71.0
636020215,MSC JESSENIA R,IMO9215672,70.0
431892000,SHINCHI MARU,IMO9659000,70.0
249909000,TYSLA,IMO9515400,70.0
477207300,MAERSK NEW DELHI,IMO9402627,71.0
352163000,GENIUS SW,IMO9511052,70.0
255806498,MSC JULIE,IMO9704996,71.0
636022687,G.CROWN,IMO9982483,70.0
636021739,ZIM CHINA,IMO9389382,71.0
232018900,HYUNDAI NEPTUNE,IMO9725158,70.0
244561000,VANQUISH,IMO9375135,79.0
440141000,SM BUSAN,IMO9312767,70.0
366971360,JOHN G MUNSON,IMO5173670,70.0
369224000,HARVEY PROVIDER,IMO9270115,75.0
636093306,WESTPORT,IMO9302645,71.0
367416060,HARVEY RAIN,IMO9536210,70.0
368308420,NIMITZ,IMO0568812,70.0
366938730,INDIANA HARBOR,IMO7514701,70.0
215181000,CMA CGM J. ADAMS,IMO9780885,71.0
256542000,CMA CGM INDIANAPOLIS,IMO9953717,70.0
538009664,ASTRO ALTAIR,IMO9864887,70.0
352166000,AUDREY SW,IMO9597422,70.0
304664000,PIONEER,IMO9184706,79.0
369701000,MIDNIGHT SUN,IMO9232278,70.0
366563000,MAHIMAHI,IMO7907996,70.0
368473000,LIBERTY PRIDE,IMO9448114,70.0
352002445,OCEAN GENOVA,IMO9965473,70.0
368115890,SOUTHERN BELLE,,79.0
477302200,SEASPAN HANNOVER,IMO9320013,70.0
477067900,OOCL UTAH,IMO9486087,70.0
367525770,TUGIDAK,IMO7309302,79.0
355919000,MSC MARIA ELENA,IMO9304423,70.0
636021197,SYMI,IMO9669407,70.0
636017581,MSC ANNICK,IMO9169122,73.0
316029000,CSL NIAGARA,IMO7128423,70.0
368016020,TIMELESS,IMO8967852,71.0
366938710,AMERICAN MARINER,IMO7812567,70.0
305719000,BBC AQUAMARINE,IMO9504736,70.0
372733000,EVER FIT,IMO9850795,71.0
477194600,COSCO SHIPPING ANDES,IMO9757888,71.0
538004750,FEDERAL TYNE,IMO9658903,70.0
352283000,FRONTIER ACE,IMO9209271,70.0
563040700,ULTRALAZ,IMO9781085,70.0
538011204,WIGEON,IMO9358395,70.0
368311960,HOS BLACKHAWK,IMO9382877,70.0
636022953,ZIM ARIES,IMO9963217,70.0
636093305,NORWALK,IMO9290464,71.0
366904940,PAUL R TREGURTHA,IMO7729057,70.0
352002132,DAFENGGANG HESHUNHAO,IMO9188805,70.0
563295000,CEMTEX FORTUNE,IMO9727106,70.0
367124980,BEN CHERAMIE,IMO9271200,70.0
477389500,FORTUNE WING,IMO9479022,70.0
367082220,STR WILFRED SYKES,IMO5389554,70.0
538011344,VIRGO,IMO9650925,70.0
377901012,TRANSPORT,IMO7122572,70.0
636017514,MSC CORNELIA,IMO9426817,74.0
366840000,HARVEY CHAMPION,IMO9581289,70.0
366138000,HARVEY DISCOVERY,IMO9388144,79.0
316033814,SEASPAN RELIANT,IMO9764233,74.0
367710550,MS NANCY,IMO9772979,70.0
316036089,ALGOMA SAULT,IMO9619282,70.0
338121000,LURLINE,IMO9814600,71.0
636023371,SEABOARD GEMINI,IMO9969625,70.0
538008020,MAGIQUE MARLINE,IMO9473597,70.0
538010925,GOLDEN ERLING,IMO9955571,70.0
366938760,SAM LAUD,IMO7390210,70.0
563208400,DA TAI,IMO9608386,70.0
246265000,ORANJEBORG,IMO9232797,70.0
275543000,VIOLET,IMO9962976,70.0
256982000,BURGUNDY,IMO9372872,74.0
367668280,CAPT ROD,,75.0
209423000,MARIA H,IMO9247754,70.0
352853000,MSC LONDON,IMO9606302,70.0
256855000,CMA CGM DALILA,IMO9450624,73.0
636022635,HUTTON,IMO9311787,74.0
636017870,DONINGTON,IMO9748291,70.0
636016600,AEOLOS,IMO9670901,70.0
538011342,AGIOS NEKTARIOS I,IMO9515759,70.0
368359690,ECO EDISON,IMO1035894,70.0
367651380,ELK,IMO9724295,70.0
577532000,SEA FALCON,,70.0
477893400,ONE COSMOS,IMO9388340,71.0
367746000,FAST RUNNER,IMO9624885,70.0
311001247,CHANNEL PEARL,IMO9644550,70.0
229760000,ALDA,IMO9638135,70.0
366971370,EDWIN H GOTT,IMO7606061,70.0
563163400,EVER FRANK,IMO9850587,74.0
366905890,JAMES R BARKER,IMO7390260,70.0
366904930,HERBERT C JACKSON,IMO5148417,70.0
366971350,PHILIP R CLARKE,IMO5277062,70.0
255806520,MSC GISELLE,IMO9720196,71.0
538008404,FEDERAL ST LAURENT,IMO9838462,70.0
367422000,DELAWARE EXPRESS,IMO9349514,70.0
311008600,VIOLET ACE,IMO9395630,70.0
538007837,FEDERAL NAGARA,IMO9805257,70.0
367658610,BROOKE,IMO9704295,70.0
636021190,EVER FOND,IMO9850848,70.0
367341340,MR ALEX,,70.0
671830000,HARDSHIP,IMO8126549,70.0
305598000,RUDOLF,IMO9535591,70.0
563192100,FRANZISKA SCHULTE,IMO9709245,70.0
229215000,ORHAN,IMO9625451,70.0
366793000,MATSON KODIAK,IMO8419166,70.0
368099430,AXIS,IMO9700988,70.0
241625000,ALPHA PRIDE,IMO9827528,70.0
338127187,FIREBOAT PHOENIX,,70.0
304940000,GRACE,IMO9197442,70.0
338058000,ARC INTEGRITY,IMO9332949,70.0
257480000,OSLO BULK 8,IMO9485813,70.0
367186630,GLORIA A,IMO7011632,70.0
368189190,DUKE,IMO9264623,70.0
636093031,BSG BAHAMAS,IMO9439498,70.0
373605000,TBC PROGRESS,IMO9489821,70.0
354015000,SAIKAI MARU II,IMO9906790,70.0
375902000,TROPIC SUN,IMO9039016,70.0
636021004,GSL LALO,IMO9330525,70.0
372627000,MORNING LILY,IMO9446013,70.0
256948000,CMA CGM POINTE-NOIRE,IMO9975246,70.0
338225000,HARVEY ENERGY,IMO9654220,70.0
371228000,MSC PAMELA,IMO9290531,71.0
255806521,MSC MAXINE,IMO9720287,71.0
368146000,PRESIDENT GRANT,IMO9938339,70.0
366954010,GOL WORKER,IMO9297747,70.0
636022657,MSC DOMNA X,IMO9120841,71.0
636022208,WECO ESTHER,IMO9951654,70.0
636093140,AL MANAMAH,IMO9349538,71.0
636024188,BORDEAUX,IMO9483229,70.0
366791000,GEORGE II,IMO7729461,70.0
367507790,HARVEY SUPPORTER,IMO9581227,70.0
477348300,SEASPAN BEYOND,IMO9739678,74.0
366606000,HAWAII RESPONDER,IMO9043897,70.0
432666000,AEGEAN HIGHWAY,IMO9464388,79.0
303244000,COASTAL PROGRESS,IMO8855463,70.0
636014199,CMA CGM LAPIS,IMO9386495,70.0
367612490,HOS CALEDONIA,IMO9647629,70.0
367610650,IRISH,IMO9721841,70.0
255806182,INDUSTRIAL CONSTANT,IMO9810343,79.0
311057100,CSL TACOMA,IMO9640956,70.0
345090026,HOS RIDGEWIND,IMO9260706,79.0
477607700,OOCL TOKYO,IMO9310238,73.0
367433790,GOL BRAVE,IMO9578737,70.0
316026694,CSL ST-LAURENT,IMO9665281,70.0
316001633,CSL ASSINIBOINE,IMO7413218,70.0
374032000,ATLANTIC TONJER,IMO8205620,70.0
366904910,KAYE E BARKER,IMO5097450,70.0
367750000,HARVEY SUPPLIER,IMO9388118,70.0
367510770,SEA SERVICE 1,IMO1236101,70.0
538009707,NYK LAURA,IMO9406752,72.0
538008204,OLEANDER,IMO9827334,70.0
538004056,GIORGOS B,IMO9459383,70.0
245227000,SOMERS ISLES,IMO9375147,79.0
255806450,GOLDEN CITRUS,IMO9663740,70.0
477214400,GERHARD SCHULTE,IMO9328481,71.0
229203000,DENSA FALCON,IMO9649081,70.0
368113590,SAN JUAN CHARGER,,70.0
368067670,WADMALAW,,70.0
311921000,MORNING COURIER,IMO9285639,70.0
367432220,SCARLETT ISABELLA,IMO9585077,79.0
368294650,ENTERPRISE,,70.0
356701000,SALAMINA 1,IMO9567245,70.0
636023342,OOCL BREMERHAVEN,IMO9979254,70.0
354196000,BUNUN ACE,IMO9628570,70.0
477871500,ZIM SAMMY OFER,IMO9931094,71.0
305176000,MIRANDA,IMO9344394,70.0
229257000,BOGDAN,IMO9905710,70.0
316206000,ATLANTIC HURON,IMO8025680,70.0
368627000,SUBSEA RESPONDER III,IMO9214915,70.0
538006434,FEDERAL BISCAY,IMO9697856,70.0
352001401,FEDERAL PASSION,IMO9926049,70.0
255915938,BULK PROMISE,IMO9666510,70.0
538010159,CL XUCHANG,IMO9943578,75.0
311000898,CSL KOASEK,IMO9710567,70.0
367304000,ODYSSEA SQUIRE,IMO9302267,70.0
311000368,CSL SPIRIT,IMO9138111,70.0
311000859,AFRICAN LOON,IMO9748071,70.0
366812000,BRUTUS,,70.0
538011301,BRAVO,IMO9376385,70.0
230186000,MIDAS,IMO9002659,79.0
371210000,CENTURY BRIGHT,IMO9694866,70.0
636017898,CHARLES,IMO9595175,70.0
367419770,MS JANE,IMO8978150,70.0
366779000,CAPE ISLAND,IMO7390131,70.0
354315000,MSC TOMOKO,IMO9309461,70.0
563189400,SEACON TOKYO,IMO9941958,70.0
636024119,HMM RUBY,IMO9955246,71.0
564879000,CRIMSON EMPRESS,IMO9485021,70.0
316004950,SAGINAW,IMO5173876,70.0
636023726,LEOPOLD STAFF,IMO9272228,70.0
366734000,CAPE ISABEL,IMO7390129,70.0
316041768,DISCOVERY SERVER,,79.0
367380320,HARVEY RAIDER,IMO9555759,70.0
255806337,BENJAMIN CONFIDENCE,IMO9713234,70.0
367689970,CARIBOU,IMO9724283,70.0
367121010,AMERICAN CENTURY,IMO7923196,70.0
338078000,MAERSK ATLANTA,IMO9348649,74.0
636021462,EVER FULL,IMO9850903,70.0
316011710,ALGOMA HARVESTER,IMO9613939,70.0
636093249,TABIT,IMO9983229,70.0
373746000,NEW COMMANDER,IMO9610652,70.0
367606280,THERESE DANOS,IMO9097135,70.0
477392200,JUNE LOONG,IMO9523299,70.0
366478000,VOYAGER,IMO9132296,70.0
257366000,HOEGH ST PETERSBURG,IMO9420045,70.0
636016205,LAKE TAUPO,IMO9289908,79.0
247341700,GRANDE ABIDJAN,IMO9680712,70.0
477346500,HENRIKA SCHULTE,IMO9535163,72.0
305161000,EVA,IMO9435105,70.0
477978700,CLEARWATER BAY,IMO9606534,70.0
354149000,G POSEIDON,IMO9445394,79.0
566923000,BELLINA COLOSSUS,IMO9552977,74.0
368076650,GO LIBERTY,IMO9555761,70.0
338068000,SQUALL,IMO9690391,70.0
366970330,CHERAMIE BOTRUC 39,IMO9320166,79.0
357147000,SUPREME ACE,IMO9610391,70.0
412032000,WU ZHU HAI,IMO9494371,70.0
255805550,PACIFIC HUMILITY,IMO9423633,70.0
309373000,SWIFT ARROW,IMO8918239,79.0
441903000,ORIENTAL LEADER,IMO9633135,70.0
636018939,CHESTNUT,IMO9477866,70.0
367050550,STEWART J CORT,IMO7105495,70.0
413349820,QIAN KUN,IMO9432165,70.0
366841000,CAPE RAY,IMO7530810,70.0
356565000,MOL PREMIUM,IMO9444261,71.0
477274700,OOCL NEW YORK,IMO9198109,72.0
367313160,SAN JUAN ENTERPRISE,,70.0
441156000,GLOVIS SUPERIOR,IMO9674189,70.0
244750595,PLANTIJNGRACHT,IMO9424572,70.0
368237180,GO ADVENTURER,IMO9643087,70.0
352002593,VICTORIAN TRADER,IMO9945526,70.0
367348000,US GOVERMENT VESSEL,IMO8302442,79.0
304921000,PELAGIC EXPRESS,IMO9390381,70.0
636023059,GSL EFFIE,IMO9260433,71.0
305533000,HILKE,IMO9501875,70.0
304598000,CARIBE LEGEND,IMO9061289,70.0
563197900,MH PERSEUS,IMO9967433,70.0
352001169,SIRIOS CEMENT III,IMO9373606,70.0
563146800,PROPEL PASSION,IMO9473676,79.0
477135600,COSCO EXCELLENCE,IMO9472189,71.0
538009356,SSI DILIGENT,IMO9919022,70.0
367605680,BOBCAT,IMO9555773,70.0
477713100,LUENHO,IMO9715220,79.0
218284000,KUALA LUMPUR EXPRESS,IMO9343730,71.0
368013860,PAUL CANDIES,IMO9679725,70.0
431058000,MARVELOUS ACE,IMO9293519,70.0
367602710,ABI C,IMO9370692,70.0
366088000,THUNDER,IMO9684847,70.0
257512000,HOEGH YOKOHAMA,IMO9185451,70.0
209782000,PEGASUS,IMO9611242,70.0
257427000,LUNITA,IMO9685621,70.0
249231000,KAVO PERDIKA,IMO9584889,70.0
369390000,MAERSK TENNESSEE,IMO9314210,71.0
367612480,HOS CROCKETT,IMO9647617,70.0
538010441,NEVER ON SUNDAY,IMO9952232,70.0
256785000,ASTAKOS,IMO9552343,70.0
636018069,NAVIOS UNISON,IMO9408853,71.0
352004595,AFRICAN PEACOCK,IMO1013664,70.0
441265000,SN OPAL,IMO9392810,70.0
305350000,K-STORM,IMO9389435,79.0
352003813,SW NORTH WIND I,IMO9514004,70.0
354857000,TAI STAR,IMO9774460,70.0
367493450,ODYSSEA VALOR,IMO9555620,78.0
351237000,KM HAKATA,IMO9659830,70.0
367082230,JOSEPH L BLOCK,IMO7502320,79.0
366014000,ODYSSEA KNIGHT,IMO9302279,70.0
355572000,RUBY ENTERPRISE,IMO9774032,70.0
636018137,AAL KEMBLA,IMO9498353,79.0
636017077,SOPOT,IMO9727522,70.0
368099390,BIGHORN,IMO9670080,70.0
431772000,ONE OWL,IMO9741449,70.0
316044371,HARVEST SPIRIT,IMO9655951,70.0
538007722,GENCO MADELEINE,IMO9705976,70.0
257672000,TARAGO,IMO9191321,70.0
374158000,EVER FOCUS,IMO9850537,74.0
232013516,SPIRIT OF AUCKLAND,IMO9360752,70.0
636018931,SEATRADE GREEN,IMO9810915,79.0
354747000,TBC PRIME,IMO9618501,70.0
244820055,ROERBORG,IMO9592599,79.0
477940400,CL SHAOYANG,IMO9953341,70.0
368315650,C TRUC 9,IMO9199373,70.0
538010258,SUBSEA RESPONDER 1,IMO9201645,70.0
477915900,PEKIN,IMO9721566,70.0
366870320,CATALINA,,79.0
367581990,MS SOPHIA ROSE,IMO8964472,70.0
366215000,CAPE SAN BLAS,IMO9296353,74.0
563084400,CHASTINE MAERSK,IMO9219800,71.0
338281000,GEMI,IMO9704283,70.0
636021020,MH PHOENIX BEAUTY,IMO9455894,70.0
368112890,KAHANA II,IMO8964903,70.0
255806485,MSC SAGITTA III,IMO9401166,79.0
538003274,MATSON OAHU,IMO9352406,79.0
367581980,MS EMELIE ROSE,IMO9260794,79.0
441301000,WOOYANG DANDY,IMO9455648,70.0
538010927,ETHRA 1,IMO9414759,70.0
367611250,REBEL,IMO8987864,70.0
477836900,ONE ORINOCO,IMO9937311,74.0
311000321,HELIOS HIGHWAY,IMO9690547,70.0
477025500,JNS OCEAN,IMO1044508,70.0
368179260,MILLIE,IMO9732498,79.0
210266000,KOULITSA 2,IMO9639684,70.0
377901104,TROPIC FREEDOM,IMO9809928,70.0
352001920,SILVER SKY,IMO9448140,70.0
303829025,CAPE SAN JUAN,IMO9578971,70.0
636018304,SIEM ARISTOTLE,IMO9841029,70.0
366584000,MEGAN,IMO9591648,70.0
367121040,AMERICAN COURAGE,IMO7634226,70.0
210069000,CYMONA GLORY,IMO9510694,70.0
241821000,DESERT FAITH,IMO9942067,70.0
316002280,ALGOMA CONVEYOR,IMO9619268,70.0
255806254,KLARA OLDENDORFF,IMO9849007,70.0
303584000,MAUNALEI,IMO9273686,70.0
255806487,NORDULTRA,IMO9705146,70.0
538009565,MARBELLA CARRIER,IMO9063653,70.0
477652300,COSCO ENGLAND,IMO9516428,71.0
352003898,STAR EARENDEL,IMO9989950,70.0
354950000,ANSAC SESODA,IMO9470791,70.0
367132000,HARVEY LIBERTY,IMO9654244,70.0
367704540,COASTAL STANDARD,IMO9782493,70.0
431113000,NSU OBELISK,IMO9675664,70.0
256570000,SANTA VIOLA,IMO9295373,71.0
636017470,ETRON,IMO9718038,70.0
257264000,DON QUIJOTE,IMO9138525,70.0
249167000,CMA CGM OHIO,IMO9722687,71.0
366911650,GOL POWER,IMO8980701,70.0
538009130,GENCO MAYFLOWER,IMO9714680,70.0
304972000,ALDEBARAN J,IMO9349186,79.0
538006814,CP CHONGQING,IMO9710517,70.0
538004997,CITRIODORA,IMO9613305,70.0
367602890,GRAND ISLE,IMO9703746,70.0
367390890,SPENCER PHILIP,IMO8741703,70.0
367622850,FMS ENDURANCE,IMO9209075,70.0
354751000,ORCA I,IMO9318113,70.0
636022893,CHIQUITA EXPLORER,IMO9304966,70.0
367510030,MS MEGGIE,IMO9373759,70.0
303829026,CAPE SABLE,IMO9578983,70.0
271052065,DENAK D,IMO9336036,70.0
311000732,STAR TOPAZ,IMO9843364,70.0
269056000,CURIA,IMO9710048,70.0
305024000,ONEGO BAYOU,IMO9369069,70.0
246634000,ERIEBORG,IMO9463437,70.0
636017072,SZARE SZEREGI,IMO9708057,70.0
477941300,CL HUAIHUA,IMO9953353,70.0
212370000,JUAN DIEGO,IMO9189574,70.0
352002924,KATAGALAN ACE,IMO9950521,70.0
538004109,AVALON,IMO9585728,70.0
636022718,ADASTAR,IMO9701231,70.0
636024654,ZIM ALBATROSS,IMO9960540,79.0
345090012,HOS SWEET WATER,IMO9495545,70.0
636020502,GLOBAL FOREST,IMO9883728,70.0
440388000,PAN TALISMAN,IMO9875056,70.0
368230820,GO EXPLORER,IMO9469405,70.0
338196000,STORM,IMO9717711,70.0
636023250,YM WELLSPRING,IMO9757230,74.0
215189000,CMA CGM FLORIDA,IMO9348704,75.0
256190000,CLACTON,IMO9979498,79.0
373879000,AQUAMARINE SW,IMO9597666,70.0
366987890,CAPT RUDY,IMO9337420,70.0
369330000,YOUNGS TIDE,IMO9693537,70.0
538006067,ANTIGONI,IMO9180918,70.0
354225000,PERSEUS,IMO9723631,70.0
636093086,OKEE HENRI,IMO9347279,70.0
538004092,ATTALIA,IMO9423360,70.0
367599260,SARGASSO,IMO9712058,70.0
538009034,SSI ENDEAVOUR,IMO9883053,70.0
538010283,ATLANTIC ACTION II,IMO9509633,71.0
356068000,WIND SCYLLA,IMO9698939,79.0
368836000,BOB HOPE,IMO9085297,70.0
355488000,DELHI HIGHWAY,IMO9536959,70.0
316011905,ROBERT S PIERSON,IMO7366403,79.0
368035830,GOL FORCE,,71.0
311832000,WARMIA,IMO9285146,70.0
368357320,MS TAYLOR,IMO8975287,70.0
366987000,REGULUS,IMO7302897,70.0
304010983,INDUSTRIAL AIM,IMO9204934,79.0
219032916,CAPE SOREL,IMO9969869,70.0
636018242,MSC SWEDEN VI,IMO9231262,70.0
477717800,CS WU HAN,IMO9874715,70.0
367596850,HOS BAYOU,IMO9647681,70.0
352003208,ECO TRADER,IMO9989261,70.0
477035500,TCLC QUANZHOU,IMO9780615,70.0
218426000,HONG KONG EXPRESS,IMO9501356,71.0
372734000,STARDOM WAVE,IMO9767467,70.0
563004600,KALAMAZOO,IMO9611058,71.0
477168600,SELO,IMO9543251,70.0
367635140,AVERY ISLAND,IMO9730311,70.0
229454000,CMA CGM HERMES,IMO9882499,71.0
367313120,ALEXANDRA DANOS,IMO1603447,70.0
538004843,BAYRAKTAR UNITY,IMO9452517,70.0
368324460,HOS BERETTA,IMO9347346,70.0
246547000,ONEGO DUERO,IMO9580780,70.0
636022285,PARALOS,IMO9325099,70.0
241693000,DESERT HONOUR,IMO9861330,70.0
256572000,CMA CGM F.SAGAN,IMO9356696,71.0
367630990,SOLOMON,IMO9724233,70.0
367668680,BISON,IMO9724271,70.0
538010304,PEARL ETERNITY,IMO9950416,70.0
367111870,BERTHA D,IMO9399442,70.0
477454300,HUAYANG SUNRISE,IMO9431898,70.0
563187700,GCL MOBILE,IMO9957488,70.0
477397800,COSCO HARMONY,IMO9472177,70.0
367832000,CHARLES L GILLILAND,IMO7227205,70.0
368087080,T.R. STONE,,79.0
636019986,YM TIPTOP,IMO9860946,71.0
636020122,AQUAPISCES,IMO9757022,70.0
209641000,CAMPECHE BAY,IMO9167980,70.0
367585910,HOS CAROLINA,IMO9647576,70.0
477669100,POYANG,IMO9721580,70.0
228451700,MARIUS,IMO9802504,71.0
367612310,HOS BLACK FOOT,IMO9647693,70.0
